product_name,category,unit_cost,quantity_sold,sale_price,sale_date,stock_after_sale
Replacement Pods (4-Pack),Pod Systems,200,2,599.0,2022-01-01,283
Temperature Control Device,Premium Devices,3000,1,4999.0,2022-01-01,206
Coil Pack (10 pcs),Accessories,200,7,499.0,2022-01-03,271
Advanced Pod Kit,Pod Systems,1200,2,1999.0,2022-01-03,443
Lite 200 Puff,Disposable Vapes,100,15,249.0,2022-01-04,478
Compact Pod Kit,Pod Systems,600,4,1199.0,2022-01-04,414
Premium 2000 Puff,Disposable Vapes,280,4,799.0,2022-01-05,352
Pod System Kit,Pod Systems,800,2,1499.0,2022-01-05,220
Lite 200 Puff,Disposable Vapes,100,13,249.0,2022-01-05,465
Pod System Kit,Pod Systems,800,1,1499.0,2022-01-08,219
Battery 18650,Accessories,80,9,249.0,2022-01-08,472
Replacement Pods (4-Pack),Pod Systems,200,4,599.0,2022-01-08,279
E-Liquid 100ml Bulk,E-Liquids,300,1,699.0,2022-01-08,278
E-Liquid 30ml,E-Liquids,120,7,299.0,2022-01-08,273
Lite 200 Puff,Disposable Vapes,100,5,249.0,2022-01-09,460
Advanced Pod Kit,Pod Systems,1200,1,1999.0,2022-01-09,442
Max 3000 Puff,Disposable Vapes,350,1,999.0,2022-01-09,349
Professional Starter Kit,Premium Devices,1500,1,2499.0,2022-01-11,452
Classic 500 Puff,Disposable Vapes,150,9,399.0,2022-01-11,272
Lite 200 Puff,Disposable Vapes,100,10,249.0,2022-01-14,450
E-Liquid 100ml Bulk,E-Liquids,300,3,699.0,2022-01-14,275
Premium 2000 Puff,Disposable Vapes,280,5,799.0,2022-01-14,347
Professional Starter Kit,Premium Devices,1500,1,2499.0,2022-01-14,451
Battery 18650,Accessories,80,11,249.0,2022-01-14,461
Battery 18650,Accessories,80,5,249.0,2022-01-16,456
Replacement Pods (4-Pack),Pod Systems,200,3,599.0,2022-01-16,276
Advanced Pod Kit,Pod Systems,1200,1,1999.0,2022-01-16,441
Professional Starter Kit,Premium Devices,1500,1,2499.0,2022-01-16,450
E-Liquid 100ml Bulk,E-Liquids,300,2,699.0,2022-01-16,273
Zero Nicotine 30ml,E-Liquids,100,8,249.0,2022-01-17,408
Pod System Kit,Pod Systems,800,3,1499.0,2022-01-17,216
Temperature Control Device,Premium Devices,3000,1,4999.0,2022-01-17,205
Tank Glass Replacement,Accessories,150,7,399.0,2022-01-17,399
Tropical Mix 500 Puff,Disposable Vapes,150,9,399.0,2022-01-17,485
Advanced Mod,Premium Devices,1800,3,2999.0,2022-01-21,476
Professional Starter Kit,Premium Devices,1500,1,2499.0,2022-01-21,449
Coil Pack (10 pcs),Accessories,200,6,499.0,2022-01-21,265
Compact Pod Kit,Pod Systems,600,3,1199.0,2022-01-21,411
Max 3000 Puff,Disposable Vapes,350,2,999.0,2022-01-22,347
Zero Nicotine 30ml,E-Liquids,100,3,249.0,2022-01-22,405
Advanced Pod Kit,Pod Systems,1200,1,1999.0,2022-01-22,440
Advanced Mod,Premium Devices,1800,1,2999.0,2022-01-23,475
Premium 2000 Puff,Disposable Vapes,280,2,799.0,2022-01-23,345
Tropical Mix 500 Puff,Disposable Vapes,150,5,399.0,2022-01-23,480
