Product Name,Quantity Sold,Sale Price,Sale Date
Mouse,12,295.50,2025-11-01
USB Cable,18,115.20,2025-11-01
Headphones,3,2010.00,2025-11-01
Keyboard,5,1340.00,2025-11-01
Laptop,2,28500.00,2025-11-01
Desk Lamp,8,420.00,2025-11-01
Webcam,4,2650.00,2025-11-01
Monitor,1,12200.00,2025-11-01
Mouse,15,298.75,2025-11-02
USB Cable,22,118.50,2025-11-02
Headphones,2,1995.00,2025-11-02
Keyboard,7,1350.00,2025-11-02
Laptop,3,29200.00,2025-11-02
Desk Lamp,10,425.00,2025-11-02
Webcam,3,2680.00,2025-11-02
Monitor,2,12500.00,2025-11-02
Mouse,10,290.00,2025-11-03
USB Cable,20,116.80,2025-11-03
Headphones,4,2020.00,2025-11-03
Keyboard,6,1345.00,2025-11-03
Laptop,2,28800.00,2025-11-03
Desk Lamp,12,430.00,2025-11-03
Webcam,5,2700.00,2025-11-03
Monitor,1,12300.00,2025-11-03
Mouse,14,296.50,2025-11-04
USB Cable,25,119.75,2025-11-04
Headphones,3,2005.00,2025-11-04
Keyboard,8,1355.00,2025-11-04
Laptop,4,29500.00,2025-11-04
Desk Lamp,9,422.50,2025-11-04
Webcam,4,2690.00,2025-11-04
Monitor,2,12450.00,2025-11-04
Mouse,11,293.25,2025-11-05
USB Cable,19,117.40,2025-11-05
Headphones,2,1990.00,2025-11-05
Keyboard,5,1338.00,2025-11-05
Laptop,3,29100.00,2025-11-05
Desk Lamp,11,427.50,2025-11-05
Webcam,3,2670.00,2025-11-05
Monitor,1,12250.00,2025-11-05
Mouse,13,297.80,2025-11-06
USB Cable,23,120.50,2025-11-06
Headphones,5,2025.00,2025-11-06
Keyboard,7,1348.00,2025-11-06
Laptop,2,28700.00,2025-11-06
Desk Lamp,10,424.00,2025-11-06
Webcam,4,2695.00,2025-11-06
Monitor,2,12400.00,2025-11-06
Mouse,16,299.00,2025-11-07
USB Cable,21,118.90,2025-11-07
Headphones,3,2015.00,2025-11-07
Keyboard,6,1342.00,2025-11-07
Laptop,3,29300.00,2025-11-07
Desk Lamp,13,428.00,2025-11-07
Webcam,5,2705.00,2025-11-07
Monitor,1,12350.00,2025-11-07
