product_name,quantity_sold,sale_price,sale_date
Pod Kit,14,67.96,2023-02-14
Drip Tips,2,35.84,2023-02-14
Drip Tips,5,21.25,2023-02-14
Tank Glass,10,10.66,2023-02-14
Charger,5,17.29,2023-02-14
Battery 18650,3,19.51,2023-02-14
Battery 18650,2,26.11,2023-02-14
Batteries,9,35.99,2023-02-14
Cotton Wicking,19,43.13,2023-02-14
Replacement Coils,9,6.31,2023-02-14
Nicotine Pods,16,75.52,2023-02-14
Battery 18650,2,16.15,2023-02-14
Zero Nicotine 30ml,8,33.1,2023-02-14
E-Liquid Premium,20,41.41,2023-02-14
Vape Juice 60ml,13,48.02,2023-02-14
Vape Juice 30ml,15,52.01,2023-02-14
Atomizers,5,58.2,2023-02-14
Atomizers,7,36.01,2023-02-14
Tanks,9,61.58,2023-02-14
Starter Kit,5,25.27,2023-02-14
Vape Mod XL,5,47.85,2023-02-14
Vape Mod XL,6,58.23,2023-02-14
Zero Nicotine 30ml,8,9.37,2023-02-14
Batteries,9,44.17,2023-02-15
Battery 18650,5,24.67,2023-02-15
Battery 18650,5,18.52,2023-02-15
Battery 18650,3,25.55,2023-02-15
Chargers,12,28.37,2023-02-15
Drip Tips,5,18.38,2023-02-15
Charger,1,16.48,2023-02-15
Tank Glass,7,15.98,2023-02-15
Tank Glass,3,29.17,2023-02-15
Batteries,8,58.01,2023-02-15
Charger,4,10.26,2023-02-15
Cotton Wicking,15,42.19,2023-02-15
Vape Juice 60ml,6,37.0,2023-02-15
Nicotine Pods,10,34.24,2023-02-15
Replacement Coils,9,20.89,2023-02-15
Pod Kit,18,60.98,2023-02-15
Starter Kit,5,38.09,2023-02-15
Tanks,9,37.04,2023-02-15
Atomizers,5,74.08,2023-02-15
Atomizers,2,47.26,2023-02-15
Vape Juice 60ml,6,32.96,2023-02-15
E-Liquid Premium,20,36.52,2023-02-15
Zero Nicotine 30ml,8,5.0,2023-02-15
Zero Nicotine 30ml,6,30.74,2023-02-15
Atomizers,4,55.17,2023-02-15
Battery 18650,8,25.95,2023-02-16
Cotton Wicking,5,64.13,2023-02-16
Batteries,16,36.96,2023-02-16
Battery 18650,7,19.78,2023-02-16
Chargers,10,40.81,2023-02-16
Drip Tips,4,25.0,2023-02-16
Charger,1,23.01,2023-02-16
Tank Glass,7,5.0,2023-02-16
Drip Tips,3,33.25,2023-02-16
Drip Tips,1,38.43,2023-02-16
Cotton Wicking,5,35.01,2023-02-16
Charger,4,17.23,2023-02-16
Replacement Coils,11,13.0,2023-02-16
E-Liquid Premium,13,71.36,2023-02-16
Zero Nicotine 30ml,7,41.78,2023-02-16
Starter Kit,7,32.37,2023-02-16
Tanks,13,60.87,2023-02-16
Atomizers,9,78.07,2023-02-16
Vape Juice 30ml,12,23.32,2023-02-16
Vape Juice 30ml,12,46.92,2023-02-16
Pod Kit,19,54.58,2023-02-16
E-Liquid Premium,11,47.22,2023-02-16
Zero Nicotine 30ml,3,35.74,2023-02-16
Zero Nicotine 30ml,4,24.93,2023-02-16
Vape Juice 60ml,19,33.44,2023-02-16
Nicotine Pods,16,52.11,2023-02-16
Drip Tips,3,17.65,2023-02-17
Replacement Coils,17,12.55,2023-02-17
Drip Tips,3,43.03,2023-02-17
Tank Glass,15,16.71,2023-02-17
Charger,9,21.11,2023-02-17
Chargers,12,31.98,2023-02-17
Battery 18650,6,22.1,2023-02-17
Battery 18650,6,23.68,2023-02-17
Batteries,17,21.72,2023-02-17
Cotton Wicking,12,61.66,2023-02-17
Cotton Wicking,10,40.55,2023-02-17
Nicotine Pods,9,14.05,2023-02-17
Zero Nicotine 30ml,18,15.33,2023-02-17
Nicotine Pods,8,16.12,2023-02-17
Pod Kit,21,35.07,2023-02-17
Vape Mod XL,8,35.16,2023-02-17
Starter Kit,11,44.96,2023-02-17
Tanks,16,63.83,2023-02-17
Vape Mod XL,7,47.87,2023-02-17
Vape Juice 30ml,29,51.52,2023-02-17
Vape Juice 60ml,12,24.61,2023-02-17
Vape Juice 60ml,10,41.78,2023-02-17
E-Liquid Premium,24,53.39,2023-02-17
Atomizers,16,57.85,2023-02-17
Batteries,9,32.97,2023-02-18
Cotton Wicking,25,56.38,2023-02-18
Batteries,8,62.67,2023-02-18
Batteries,6,41.29,2023-02-18
Battery 18650,14,20.0,2023-02-18
Drip Tips,4,32.6,2023-02-18
Charger,1,21.72,2023-02-18
Charger,3,17.1,2023-02-18
Tank Glass,10,24.56,2023-02-18
Drip Tips,5,24.36,2023-02-18
Nicotine Pods,25,49.77,2023-02-18
Chargers,13,53.79,2023-02-18
Zero Nicotine 30ml,8,47.94,2023-02-18
Tanks,6,45.66,2023-02-18
E-Liquid Premium,21,51.08,2023-02-18
Pod Kit,13,58.25,2023-02-18
Vape Mod XL,5,39.87,2023-02-18
Vape Mod XL,7,26.04,2023-02-18
Starter Kit,11,49.54,2023-02-18
Tanks,7,69.16,2023-02-18
Pod Kit,13,17.8,2023-02-18
Vape Juice 30ml,15,55.8,2023-02-18
Vape Juice 60ml,9,33.3,2023-02-18
Zero Nicotine 30ml,9,38.69,2023-02-18
Vape Juice 30ml,16,34.65,2023-02-18
Vape Juice 60ml,12,24.85,2023-02-18
Nicotine Pods,24,52.2,2023-02-19
Tank Glass,14,12.85,2023-02-19
Chargers,12,64.5,2023-02-19
Battery 18650,3,28.86,2023-02-19
Drip Tips,8,23.24,2023-02-19
Batteries,11,34.92,2023-02-19
Batteries,12,51.82,2023-02-19
Cotton Wicking,22,28.75,2023-02-19
Replacement Coils,7,28.4,2023-02-19
Replacement Coils,7,13.89,2023-02-19
Replacement Coils,8,23.35,2023-02-19
Battery 18650,4,19.19,2023-02-19
Zero Nicotine 30ml,10,38.29,2023-02-19
E-Liquid Premium,12,36.2,2023-02-19
E-Liquid Premium,11,41.66,2023-02-19
E-Liquid Premium,9,54.92,2023-02-19
Vape Juice 30ml,11,52.09,2023-02-19
Vape Juice 30ml,12,38.62,2023-02-19
Vape Juice 30ml,13,48.38,2023-02-19
Atomizers,18,68.74,2023-02-19
Starter Kit,10,29.44,2023-02-19
Vape Mod XL,11,58.0,2023-02-19
Pod Kit,26,52.29,2023-02-19
Zero Nicotine 30ml,12,48.17,2023-02-19
Replacement Coils,11,20.77,2023-02-20
Cotton Wicking,3,14.75,2023-02-20
Cotton Wicking,5,66.85,2023-02-20
Batteries,13,35.92,2023-02-20
Drip Tips,4,36.41,2023-02-20
Battery 18650,5,21.2,2023-02-20
Chargers,4,23.26,2023-02-20
Chargers,4,36.65,2023-02-20
Charger,7,16.44,2023-02-20
Battery 18650,6,12.09,2023-02-20
Zero Nicotine 30ml,12,36.98,2023-02-20
Nicotine Pods,13,12.91,2023-02-20
E-Liquid Premium,8,31.11,2023-02-20
Pod Kit,9,57.76,2023-02-20
Pod Kit,9,53.1,2023-02-20
Vape Mod XL,9,30.21,2023-02-20
Starter Kit,5,51.94,2023-02-20
E-Liquid Premium,11,52.49,2023-02-20
Atomizers,13,70.64,2023-02-20
Vape Juice 30ml,20,25.54,2023-02-20
Vape Juice 60ml,7,26.12,2023-02-20
Vape Juice 60ml,8,24.58,2023-02-20
Tanks,11,47.26,2023-02-20
Cotton Wicking,3,9.09,2023-02-21
Cotton Wicking,4,55.97,2023-02-21
Cotton Wicking,4,24.61,2023-02-21
Batteries,7,5.64,2023-02-21
Batteries,8,26.21,2023-02-21
Battery 18650,7,21.92,2023-02-21
Chargers,8,30.54,2023-02-21
Charger,4,14.4,2023-02-21
Charger,3,21.86,2023-02-21
Replacement Coils,13,7.67,2023-02-21
Drip Tips,6,30.94,2023-02-21
Drip Tips,6,29.47,2023-02-21
Chargers,9,56.0,2023-02-21
Tank Glass,7,15.94,2023-02-21
Nicotine Pods,12,30.59,2023-02-21
E-Liquid Premium,22,49.18,2023-02-21
Zero Nicotine 30ml,15,34.89,2023-02-21
Pod Kit,10,39.84,2023-02-21
Vape Mod XL,10,43.87,2023-02-21
Starter Kit,7,42.43,2023-02-21
Tanks,15,60.83,2023-02-21
Pod Kit,6,65.77,2023-02-21
Atomizers,7,57.91,2023-02-21
Vape Juice 30ml,26,41.74,2023-02-21
Vape Juice 60ml,4,38.42,2023-02-21
Vape Juice 60ml,8,18.04,2023-02-21
Vape Juice 60ml,8,38.79,2023-02-21
Atomizers,4,53.99,2023-02-21
Replacement Coils,9,12.35,2023-02-22
Drip Tips,8,17.67,2023-02-22
Tank Glass,8,18.83,2023-02-22
Charger,6,17.64,2023-02-22
Charger,6,18.38,2023-02-22
Battery 18650,11,21.06,2023-02-22
Batteries,15,39.45,2023-02-22
Cotton Wicking,8,30.39,2023-02-22
Cotton Wicking,9,24.1,2023-02-22
Nicotine Pods,20,33.68,2023-02-22
E-Liquid Premium,19,50.02,2023-02-22
Zero Nicotine 30ml,3,41.52,2023-02-22
Zero Nicotine 30ml,6,29.31,2023-02-22
Zero Nicotine 30ml,5,33.88,2023-02-22
Vape Juice 60ml,23,15.27,2023-02-22
Vape Juice 30ml,21,36.97,2023-02-22
Atomizers,9,40.32,2023-02-22
Starter Kit,5,32.88,2023-02-22
Vape Mod XL,10,90.27,2023-02-22
Pod Kit,19,46.8,2023-02-22
